Q4 QR must be bad or not good as Q3 QR.,-1
"it's a trap, i had tried 1000lot, it was eaten up in a minute",-1
"Ya fata, very obviously Armada operator is still seducing those sohai stupid shorties to short",-1
ARMADA semput..:),-1
"TP for Jaks at 3.00? That is what promoters crying for?  Find out what are better buy with the same price, and stand lower risk of losing money. So call High Risk High Gain. So many punters may want to try their luck here.  Again I love kcchongnz preaching: BUY GOOD SHARE CHEAP.  Is Jaks at 1.25 cheap? Is Jaks constitute good share?",-1
More troubles and problem facing sapenrg. Scomi { group} facing legal tussel over defaulted loans related restructuring sapenrg. Court injunction to stop forced sale of sapenrg,-1
Hahaha..ikan bilis sometime get untung bro..if your ikan bilis get sells at the supermarket..if ikan bilis at night market sure no untung ..Sapura energy price really cheap price 23.5nickle to 24.5nickle this consider night market price..if oil price recover usd80 to usd usd95 pergallon sure sapura energy fly to 65cent to 90cent..Can keep some for long term.. warren buffet said buy cheap ..hold then sell high..,1
"Dont everyday tiao spinning tools ma , he or she is gua idol. He said 0.20 cents gua also believed. He big buddy all rushing to sell sapnrg, of course lu follow him short ma, but my account cant and dont allow me to short",-1
hahahaha. now start to talk cork ... conman pang,-1
THERE IS NO PROPER LEADERS OR DIRECTORS IN THIS COMPANY.. THEY ARE NOT DOING ANYTHING TO REAP UP VALUE FROM THEIR SHARES,-1
"IK, please buy today. big show come after 430pm",1
"Added SAPNRG. At this price, the downside risk is really very low. Even if it again make loss in coming Q, its stock price should stay at the same level.If SAPNRG can turn profitable in subsequent quarters, it's stock price will fly. Just look at its P/BV and outstanding orderbook, u can imagine how.",1
26 sen Sap I can only eat maggie mee for CNY.,-1
"Looking at the technical chart, the price is still above 20-day EMA, 70-day SMA and 200-day SMA, NO cut loss level is triggered ... I repeat ... NO cut loss level is triggered.  I will NOT cut loss unless the price is below 70-day SMA. 70-day SMA means 3 months low. According to technical analysis, the share price breaks 3 months low is not good. It means there is a trend changed.  The price is very high above 70-day SMA. Hence no cut loss ... I repeat ... no cut loss. The price is very high above 70-day SMA. Hence no cut loss ... I repeat ... no cut loss.  Please note that I am a technical chart trainer in Malaysia, HK and China for 10 years.  Human can lie, chart never lie.   ""We don't have to be smarter than the rest, we have to be more disciplined than the rest"" - Warren Buffett  Thank you",-1
Come on Armada..continue your sakit perut and berak flush to below 50sen..:)..,-1
chill la people..dont gaduh gaduh....EPF mau announce dividend to accountholders soon..after Chinese New Year..so akaun mesti kena cun aka cantik..so push market sikit..paling tinggi..1612-1620..then..after dividend paid..slaughtered la market..:)..1500..:),1
sleeping everywhere = meaning project everywhere = profit income everwhere = ikan bilis tak untung everytime,1
"ks55, pls stop shooting blank. I know you are a busy man. But a week, I bet u have an hour to just read a little on Jaks right?  About KYY, pls stop quoting the crook. I think many in the forum or anyone who know tht another self-center old man already lose respect to the so called “philanthropist”. Even malaysia finance blogspot(Salvatore Dali) shoot tht full of shit old man kau2 in regards of his opinion on y IB didn’t promote his Dayang.  HY? He promote n the following week keep dumping? Same goes to Jaks during 2018? He donate to hardcore poor by taking money from the so called rich or middle income in share market? He think he is Robin Hood ar? Ask him keep his mouth shut so he won’t get fired by Perak government, investigate by bukit aman or income tax dept AGAIN  Tq n happy Sunday",-1
can't break 0.55 due to shorties super active in this counter.,-1
1st high at 1.43 2nd Lower high at 1.34 3rd Lower high at 1.30  jaks has 3 resistance have to break 1.30 1.34 1.43  next lower low will at 1.05  I help you all read the chart.,-1
go check jaks discussions in 2018 if you don't believe me,-1
"Speaking of which? where is pearlwhite the proof proof guy. The more he say proof, the more i'm convince he is wrong. That's the reason why I bought even more every time he comes up ""proof"" and I found out he is wrong.",-1
wont reach 121 larrr ..a lot ppls want sapu now ..,-1
sapnrg is one waste time n waste money counter.,-1
Morning morning. One more supporter for long term trading. Very good la,1
Really fed up with armada,-1
"Today is oil and gas theme, so jaks drop 1 or 2 cents is quite normal. With the oil price broke the 70 barier, ringgit will move up so do jaks. It is not reflected now but when jaks explore, it will explode with much bigger magnitude",-1
As for me I have collected enough...Now waiting to cash in at my 1st stop ...60......If it doesn't happen prior to the New Year it will happen in February...Yes 75 will be my next stop....until it reaches 4.50 which will be my final collections...Anything less than the above are peanuts...Meow!,1
"IK, what a chance you missed out yesterday. Monday armada big show coming",1
"Minority shareholders should stop buying; let the majority shareholders screw up each other till it drop to <0.20. Then, their bankers would call for payments.",-1
"Spin..hard to say coz WATERFALL or A FALLING KNIFE is expected. Plus Lim Guan Eng already hint to provide stimulus package. Maybe government will kacau daun for FAKE TECHNICAL REBOUND. As of now..i am stick with 1,500-1492..oh ya..EPF also will announce Dividend to members in February..so maybe ada recovery sikit after sharp fall.",-1
0.50 I still winner hahahahahaha if 0.14 I lose sad,1
"Will increasing of crude oil pricing, help to boost up o&g counters",1
Everyone here also know below 0.50 is very good buy la,1
"This counter only good for judi ma? You can judi up one day and down on another day. Your wish, use your compassikut arah angin. This stock not long term grade. You want quick money can bet here. But don't bet your house or wife lah!",-1
Downtrend continueWhoever not yet sellUse this technical rebound to sell and exitThis technical rebound in free falling market is not the time to enter,-1
crude oil drop because covid-19 impact china and world,-1
"Thank you, probability and OTB for your prompt replies.",1
Use ur brain. If don’t hv one better keep quiet...,-1
Next week.. Uncle YY will proud to write more article for Dayang because it is oil n gas turn to bullish!!,1
Tiger becomes cat...cat ball...Later becomes mouseball,-1
"PAS like the BELAKANG mah! They get shock with the BELAKANG ENTRY. PAS is frustrated because they cannot get their TROJANS into gomen to sabotage. The existing trojans now fear for their ""income"" so they sorok ""BELAKANG BILIK"". PAS loves main belekang that is why they want belakang masuk gomen.",-1
these 2 noobs huh are really trash..spam every other forums with their stupidity. go get a fucking life.....tiger and apan.....,-1
"This company prospects is very good. But the problem is with the management. In 2018, the company is making loss of hundreds of millions, but it issued a bonus of 75million to the director. PNB is the single biggest shareholder to the company now. Imagine a superb mall with the worst management. Go figure.",-1
Oil price finally stand above 70,1
I want to sell my sapeng at 0.0005..faster dropped to that price lar.. Boring stock and stupid shark,-1
Armada semput..:),-1
bought Jaks at 1.25,1
Everyday say your enermy idss. Haha funny.you have no change still a dust in share market.,-1
Next week will go down to 0.27 again maybe,-1
Balless tiger hide in cave lo.... Hihi...,-1
No issues Haw Liao...Apologies accepted..Good Night... and Sweet dream..Meow...,1
"Since 26/12, Armada has been strengthening its base at a higher level, its anytime now the drive up to 60c.",1
Sapura's good time will come ... bad time shld be over soon ...,1
"All is pass , jus look the future.",1
"Speechless, everyday shorties and especially idss",-1
"This is what I believe..........  Charlie Munger's Big Lesson: Prepare for Opportunity  What is the most important personal quality an investor can have?  Patience... followed by pretty aggressive conduct. It is given to human beings who work hard at it—who look and sift the world for a mispriced bet — that they can occasionally find one. And the wise ones bet heavily when the world offers them that opportunity. They bet big when they have the odds. And the rest of the time, they don’t. It’s just that simple.",1
"Alamak, who said prepare to pay penalty of 50 million to star will disclosed how standard their are ~ haha !",-1
